participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P03,em,deformable,5,,,0.3154,2.1605,,0.2873911397198031,,
P03,em,fragile,1,1.0,,0.9842,2.5518,,10.057644110275676,,
P03,em,fragile,2,0.0,,0.9842,2.5572,,2.6333798882681565,,
P03,em,fragile,3,1.0,,0.9842,7.3602,,5.380062305295909,,
P03,em,fragile,4,0.0,,0.9842,1.4973,,,,
P03,em,fragile,5,1.0,,0.9842,1.8742,,3.992784992784993,,
P03,visual_only,deformable,1,,,0.3001,1.5482,,0.13652148030558586,,
P03,visual_only,deformable,2,,,0.2907,2.0189,,0.8898186889818678,,
P03,visual_only,deformable,3,,,0.436,1.6079,,0.32008002000500124,,
P03,visual_only,deformable,4,,,0.2735,2.6891,,0.21547483919788127,,
P03,visual_only,deformable,5,,,0.4629,4.9608,,1.0705103233346305,,
P03,visual_only,fragile,1,0.0,,0.9842,1.9451,,12.74844720496894,,
P03,visual_only,fragile,2,0.0,,0.9842,1.7655,,,,
P03,visual_only,fragile,3,0.0,,0.9842,2.1491,,4.8050713153724125,,
P03,visual_only,fragile,4,1.0,,0.9842,2.9427,,3.2200516033910787,,
P03,visual_only,fragile,5,0.0,,0.9842,1.8897,,,,
P04,lra,deformable,1,,,0.6081,2.1429,,1.6904937361827568,,
P04,lra,deformable,2,,,0.6404,1.748,,0.14191542288557213,,
P04,lra,deformable,3,,,0.5685,2.155,,,,
P04,lra,deformable,4,,,0.506,2.4889,,2.405274115197781,,
P04,lra,deformable,5,,,0.5899,1.4226,,1.6809672386895491,,
P04,lra,fragile,1,1.0,,0.9842,2.7475,,9.345679012345684,,
P04,lra,fragile,2,1.0,,0.9842,3.1728,,2.6042008532983263,,
P04,lra,fragile,3,1.0,,0.984,3.3446,,4.04144578313253,,
P04,lra,fragile,4,1.0,,0.9842,2.1531,,2.101728890002504,,
P04,lra,fragile,5,1.0,,0.9842,2.4264,,3.2167641325536067,,
P04,em,deformable,1,,,0.5273,4.3778,,,,
P04,em,deformable,2,,,0.5347,3.3514,,0.7912371134020609,,
P04,em,deformable,3,,,0.5526,3.1699,,3.283924843423811,,
P04,em,deformable,4,,,0.5441,2.4132,,2.0263565891472797,,
P04,em,deformable,5,,,0.5519,2.4158,,1.8763285024154601,,
P04,em,fragile,1,1.0,,0.9842,3.2199,,1.3180464562239433,,
P04,em,fragile,2,1.0,,0.9842,3.0108,,8.72113022113023,,
P04,em,fragile,3,1.0,,0.9842,1.8163,,4.302652106084245,,
P04,em,fragile,4,1.0,,0.9842,2.9026,,1.0035938903863428,,
P04,em,fragile,5,1.0,,0.9842,2.1559,,1.26291079812206,,
P04,visual_only,deformable,1,,,0.7629,2.6876,,1.2854914196567895,,
P04,visual_only,deformable,2,,,0.7743,2.5482,,1.1379807692307684,,
P04,visual_only,deformable,3,,,0.7604,1.7632,,1.5029354207436407,,
P04,visual_only,deformable,4,,,0.7523,2.8351,,2.305323590814199,,
P04,visual_only,deformable,5,,,0.6825,2.6921,,0.6842445114076627,,
P04,visual_only,fragile,1,1.0,,0.9842,4.0249,,6.826562499999993,,
P04,visual_only,fragile,2,1.0,,0.9842,4.4893,,6.006191950464439,,
P04,visual_only,fragile,3,1.0,,0.9842,4.0821,,1.1554033938672206,,
