participant,condition,object,n_trials,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s,fragile_survived
P13,lra,deformable,5,,0.2218,2.1583,,0.2282608695652172,,,
P13,lra,fragile,5,,0.9842,2.7463,,1.3006714747575234,,,0.0
P13,em,deformable,5,,0.1632,2.8852,,0.29085799192777345,,,
P13,em,fragile,5,,0.682,3.2777,,2.4185362265538837,,,1.0
P13,visual_only,deformable,5,,0.0,2.222,,0.5900029753049687,,,
P13,visual_only,fragile,5,,0.6233,2.2872,,2.6808510638297864,,,1.0
P14,lra,deformable,5,,0.3779,2.5539,,0.6692477876106186,,,
P14,lra,fragile,5,,0.7618,3.0801,,2.10144230769231,,,1.0
P14,em,deformable,5,,0.378,1.8909,,1.8763625704263864,,,
P14,em,fragile,5,,0.9832,2.6196,,2.1308724832214754,,,1.0
P14,visual_only,deformable,5,,0.378,2.2308,,0.7523413111342351,,,
P14,visual_only,fragile,5,,0.9842,2.45735,,1.4666012845882501,,,1.0
P15,lra,deformable,5,,0.3779,2.7588,,0.6198738170346991,,,
P15,lra,fragile,5,,0.7771,3.4151,,1.9272076372315037,,,1.0
P15,em,deformable,5,,0.3761,2.2826,,1.072916666666668,,,
P15,em,fragile,5,,0.9842,4.4914,,1.2347847643755094,,,0.0
P15,visual_only,deformable,5,,0.4218,3.2954,,0.42753935734310955,,,
P15,visual_only,fragile,5,,0.9842,4.0271,,3.3554503811535628,,,0.0
P16,lra,deformable,5,,0.3926,3.361,,0.26750795816280143,,,
P16,lra,fragile,5,,0.9842,2.9539,,3.0474090407938257,,,1.0
P16,em,deformable,5,,0.1467,3.6142,,0.2697389622945536,,,
P16,em,fragile,5,,0.9842,4.1548,,2.9823468328141143,,,0.0
P16,visual_only,deformable,5,,0.2259,4.1486,,0.44350335654683426,,,
P16,visual_only,fragile,5,,0.4618,4.7656,,2.8906551059730217,,,1.0
P17,lra,deformable,5,,0.9842,3.4223,,4.135322692574604,,,
P17,lra,fragile,5,,0.812,5.0195,,1.8676612127045258,,,1.0
P17,em,deformable,5,,0.9663,4.7476,,1.7601880877742921,,,
P17,em,fragile,5,,0.7781,5.3645,,3.4880803011292394,,,1.0
P17,visual_only,deformable,5,,0.9802,2.8094,,1.1495466032406723,,,
P17,visual_only,fragile,5,,0.9842,7.1666,,0.8826275030627637,,,1.0
P18,lra,deformable,5,,0.9841,3.816,,0.2576969028581932,,,
P18,lra,fragile,5,,0.9842,6.2848,,1.384525022210733,,,1.0
P18,em,deformable,5,,0.9261,4.4267,,0.6169294852722403,,,
P18,em,fragile,5,,0.7091,5.7633,,1.1120516877637125,,,1.0
P18,visual_only,deformable,5,,0.9587,4.684,,0.669026401265928,,,
P18,visual_only,fragile,5,,0.9607,5.0228,,0.5205399550037497,,,1.0
P19,lra,deformable,5,,0.9835,0.0136,,0.2620699676681077,,,
P19,lra,fragile,5,,0.9842,0.6166,,0.5038128547675018,,,1.0
P19,em,deformable,5,,0.9842,3.4178,,4.250781249999997,,,
P19,em,fragile,5,,0.9842,5.5639,,3.198285936891308,,,0.0
P19,visual_only,deformable,5,,0.9736,0.0151,,0.259817367452519,,,
P19,visual_only,fragile,5,,0.9842,2.2233,,9.679865444617777,,,0.0
P20,lra,deformable,5,,0.7717,2.5463,,0.9517593643586834,,,
P20,lra,fragile,5,,0.909,4.3615,,0.8451056098114919,,,1.0
P20,em,deformable,5,,0.7647,2.3593,,0.7220533603512332,,,
P20,em,fragile,5,,0.7876,5.5589,,0.6361525106798784,,,1.0
P20,visual_only,deformable,5,,0.8906,2.4908,,1.5665316297912124,,,
P20,visual_only,fragile,5,,0.9842,1.9515,,2.0693430656934337,,,1.0
P21,lra,deformable,5,,0.9262,2.5591,,1.598984771573604,,,
P21,lra,fragile,5,,0.9842,3.4952,,2.1821862348178134,,,1.0
P21,em,deformable,5,,0.9185,2.7591,,1.5027429467084645,,,
P21,em,fragile,5,,0.9842,3.2509,,2.670312499999997,,,1.0
P21,visual_only,deformable,5,,0.9826,2.277,,1.6360093530787205,,,
P21,visual_only,fragile,5,,0.9842,3.2181,,1.8885950142942762,,,0.0
P22,lra,deformable,5,,0.7661,4.7684,,1.1116071428571415,,,
P22,lra,fragile,5,,0.6828,5.0124,,1.3575038394969074,,,1.0
P22,em,deformable,5,,0.9829,1.9457,,4.220517737296259,,,
P22,em,fragile,5,,0.9777,4.824,,2.186847599164934,,,1.0
P22,visual_only,deformable,5,,0.9841,2.8865,,1.5212973817897615,,,
P22,visual_only,fragile,5,,0.9842,4.8933,,3.2264808362369446,,,1.0
