participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P02,tactiles,fragile,3,1.0,13791.7842,0.9754,3.4348,0.0,2.124707107524082,45.0,0.12769999999999992
P02,tactiles,fragile,4,1.0,6668.499,0.8007,5.906,1784.6927999999998,0.6613680154142574,1.0,0.1280000000000001
P02,tactiles,fragile,5,1.0,15826.3301,0.9061,3.7466,4122.806699999999,2.7466346153846124,1.0,0.11160000000000014
P02,visual_only,deformable,1,,775.4923,0.223,3.6395,0.0,0.2824726134585292,0.0,0.12740000000000018
P02,visual_only,deformable,2,,843.3395,0.2075,3.4965,150.68730000000005,0.4766355140186924,3.0,0.14360000000000017
P02,visual_only,deformable,3,,678.0556,0.2135,3.5551,17.255600000000072,0.3834006610356225,3.0,0.35250000000000004
P02,visual_only,deformable,4,,894.2941,0.21,3.8975,97.43089999999995,0.16740667653346478,5.0,0.27229999999999954
P02,visual_only,deformable,5,,1203.1752,0.2537,3.9623,0.0,0.07917326443870318,0.0,0.2077
P02,visual_only,fragile,1,1.0,14176.7012,0.9839,3.6936,0.0,1.1277664630006783,4.0,0.14329999999999998
P02,visual_only,fragile,2,1.0,14317.2852,0.9841,3.4233,2071.142600000001,1.4316758747697969,1.0,0.14429999999999987
P02,visual_only,fragile,3,1.0,3365.4551,0.8816,4.7758,545.7420000000002,1.7390732829444655,3.0,0.19240000000000013
P02,visual_only,fragile,4,0.0,36884.3164,0.9842,10.4923,834.9609000000055,2.4309806371018126,1.0,0.38429999999999964
P02,visual_only,fragile,5,1.0,25687.3105,0.9842,7.3652,5882.757799999999,3.9942112879884215,1.0,0.14459999999999962
P03,lra,deformable,1,,1407.1948,0.391,2.9059,267.08130000000006,0.5242926829268292,6.0,0.41579999999999995
P03,lra,deformable,2,,14932.3516,0.6118,2.1656,0.0,0.44950603732162453,2.0,0.4165000000000001
