t,gripper_pos_bit,left_force_proxy,right_force_proxy,left_force_N,right_force_N,left_max_depth_mm,right_max_depth_mm
0.0204,43,0.0000,0.0000,,,0.0000,0.0000
0.0841,43,0.0000,0.0000,,,0.0000,0.0000
0.1483,43,0.0000,0.0000,,,0.0000,0.0000
0.2119,43,0.0000,0.0000,,,0.0000,0.0000
0.2920,43,0.0000,0.0000,,,0.0000,0.0000
0.3400,35,0.0000,0.0000,,,0.0000,0.0000
0.4195,34,0.0000,0.0000,,,0.0000,0.0000
0.4848,34,0.0000,0.0000,,,0.0000,0.0000
0.5479,46,0.0000,0.0000,,,0.0000,0.0000
0.6125,68,0.0000,0.0000,,,0.0000,0.0000
0.6918,77,0.0000,0.0000,,,0.0000,0.0000
0.7420,79,0.0000,0.0000,,,0.0000,0.0000
0.8196,96,0.0000,0.0000,,,0.0000,0.0000
0.8836,105,0.0000,0.0000,,,0.0000,0.0000
0.9479,107,0.0000,0.0000,,,0.0000,0.0000
1.0124,119,0.0000,0.0000,,,0.0000,0.0000
1.0922,119,0.0000,0.0000,,,0.0000,0.0000
1.1559,130,0.0000,0.0000,,,0.0000,0.0000
1.2195,132,0.0000,0.0000,,,0.0000,0.0000
1.2841,135,0.0000,0.0000,,,0.0000,0.0000
1.3477,136,0.0000,0.0000,,,0.0000,0.0000
1.4124,140,0.0000,0.0000,,,0.0000,0.0000
1.4761,140,0.0000,0.0000,,,0.0000,0.0000
1.5559,145,0.0000,0.0000,,,0.0000,0.0000
1.6202,145,0.0000,0.0000,,,0.0000,0.0000
1.6839,145,0.0000,0.0000,,,0.0000,0.0000
1.7480,145,211.9666,0.0000,,,0.1627,0.0000
1.8118,149,404.2811,502.8615,,,0.1683,0.4488
1.8924,149,351.4228,486.7752,,,0.1608,0.4467
1.9561,154,368.9824,518.3591,,,0.1630,0.4570
2.0195,154,356.8216,707.6522,,,0.1630,0.4512
2.0843,160,858.7526,707.6522,,,0.3009,0.4512
2.1479,163,1502.8300,1473.3254,,,0.3749,0.5787
2.2124,164,1707.5265,2327.3721,,,0.3872,0.5931
2.2921,168,1723.6141,2241.4771,,,0.3823,0.5871
2.3557,168,2090.5596,2656.2036,,,0.4470,0.5943
2.4205,164,2156.8630,2553.7974,,,0.4342,0.5947
2.4838,164,2332.6526,2553.7974,,,0.4096,0.5947
2.5494,164,2305.9363,2654.8848,,,0.4106,0.5976
2.6118,164,2305.9363,2563.1282,,,0.4106,0.5944
2.6922,164,1867.5186,2378.0337,,,0.3961,0.5922
2.7569,164,1868.3232,2417.6917,,,0.3856,0.5866
2.8197,164,1937.0916,2417.6917,,,0.3839,0.5866
2.8835,164,1882.2468,2376.2842,,,0.3860,0.5930
2.9491,164,1896.0759,2362.3486,,,0.3881,0.5914
3.0147,164,1896.0759,2353.0054,,,0.3881,0.5945
3.0916,164,1896.6514,2332.1069,,,0.3825,0.5927
3.1565,162,1864.5353,2358.3989,,,0.3826,0.5932
3.2198,160,1935.2109,2358.3989,,,0.3908,0.5932
3.2844,160,1926.0181,2323.9912,,,0.3849,0.5913
3.3486,160,1926.0181,2327.7505,,,0.3849,0.5932
3.4276,160,1576.3215,2042.0229,,,0.3787,0.5365
3.4919,160,1554.8630,2030.5294,,,0.3866,0.5286
3.5577,158,1566.2352,2058.1172,,,0.3823,0.5379
3.6199,153,1583.6685,2058.1172,,,0.3897,0.5379
3.6844,153,1587.8542,2085.2185,,,0.3836,0.5396
3.7478,148,1587.8542,2070.5908,,,0.3836,0.5391
3.8277,148,927.8047,1168.5555,,,0.3203,0.4540
3.8918,136,858.6782,1149.4808,,,0.3124,0.5170
3.9560,117,922.2579,1149.4808,,,0.3205,0.5170
4.0206,98,377.1037,942.3430,,,0.1847,0.4925
4.0838,95,377.1037,330.6550,,,0.1847,0.3786
4.1475,96,246.6657,16.2726,,,0.1668,0.1369
4.2278,114,0.0000,0.0000,,,0.0000,0.0000
4.2918,136,0.0000,0.0000,,,0.0000,0.0000
4.3566,141,0.0000,0.0000,,,0.0000,0.0000
4.4196,144,0.0000,0.0000,,,0.0000,0.0000
4.4845,162,0.0000,0.0000,,,0.0000,0.0000
4.5480,168,0.0000,0.0000,,,0.0000,0.0000
4.6281,168,126.8557,0.0000,,,0.1628,0.0000
4.6924,176,1473.5093,1857.6040,,,0.3836,0.5627
4.7559,177,2560.2251,1857.6040,,,0.4424,0.5627
4.8196,177,2560.2251,2056.5383,,,0.4424,0.5998
4.8841,177,2613.1243,1971.5988,,,0.3926,0.5959
4.9640,177,3039.9424,1979.0431,,,0.3865,0.6191
5.0285,176,2914.7561,1959.8760,,,0.3914,0.5951
5.0932,173,2937.5322,1899.8037,,,0.3879,0.6314
5.1558,173,2915.5679,1899.8037,,,0.3854,0.6314
5.2203,168,2915.5679,1896.8180,,,0.3854,0.6059
5.2837,168,2899.4688,1873.1865,,,0.3882,0.6404
5.3640,168,2355.2810,1702.6580,,,0.3869,0.5935
5.4305,168,2330.3284,1680.7114,,,0.3866,0.5952
5.4918,164,2064.9092,1680.7114,,,0.3891,0.5952
5.5555,163,2064.9092,1609.7344,,,0.3891,0.5860
5.6355,158,2093.7087,1622.5168,,,0.3881,0.5929
5.6837,158,2093.7087,1622.5168,,,0.3881,0.5929
5.7642,153,1864.9581,1545.9410,,,0.3867,0.5742
5.8279,153,1801.9536,1337.3669,,,0.3877,0.4711
5.8925,142,1657.6086,1337.3669,,,0.3906,0.4711
5.9566,128,1657.6086,1274.4325,,,0.3906,0.4601
6.0372,128,1221.8362,865.6166,,,0.3849,0.4437
6.0844,118,1221.8362,865.6166,,,0.3849,0.4437
6.1643,100,0.0000,0.0000,,,0.0000,0.0000
6.2279,81,0.0000,0.0000,,,0.0000,0.0000
6.2935,61,0.0000,0.0000,,,0.0000,0.0000
6.3559,59,0.0000,0.0000,,,0.0000,0.0000
6.4204,54,0.0000,0.0000,,,0.0000,0.0000
6.5005,53,0.0000,0.0000,,,0.0000,0.0000
6.5651,52,0.0000,0.0000,,,0.0000,0.0000
6.6286,49,0.0000,0.0000,,,0.0000,0.0000
6.6917,45,0.0000,0.0000,,,0.0000,0.0000
6.7558,40,0.0000,0.0000,,,0.0000,0.0000
6.8199,40,0.0000,0.0000,,,0.0000,0.0000
6.8998,40,0.0000,0.0000,,,0.0000,0.0000
6.9637,40,0.0000,0.0000,,,0.0000,0.0000
7.0281,40,0.0000,0.0000,,,0.0000,0.0000
7.0926,40,0.0000,0.0000,,,0.0000,0.0000
7.1566,40,0.0000,0.0000,,,0.0000,0.0000
7.2199,40,0.0000,0.0000,,,0.0000,0.0000
7.3004,40,0.0000,0.0000,,,0.0000,0.0000
7.3637,40,0.0000,0.0000,,,0.0000,0.0000
7.4277,40,0.0000,0.0000,,,0.0000,0.0000
7.4919,40,0.0000,0.0000,,,0.0000,0.0000
7.5562,40,0.0000,0.0000,,,0.0000,0.0000
7.6206,40,0.0000,0.0000,,,0.0000,0.0000
7.7002,40,0.0000,0.0000,,,0.0000,0.0000
7.7637,40,0.0000,0.0000,,,0.0000,0.0000
7.8286,40,0.0000,0.0000,,,0.0000,0.0000
7.8926,40,0.0000,0.0000,,,0.0000,0.0000
7.9568,40,0.0000,0.0000,,,0.0000,0.0000
8.0199,40,0.0000,0.0000,,,0.0000,0.0000
