idx,t,volume,area_px,max_deform_mm,mean_deform_mm
0,0.026747941970825195,0.0,0,0.0,0.0
1,0.05649924278259277,0.0,0,0.0,0.0
2,0.10332369804382324,0.0,0,0.0,0.0
3,0.15424656867980957,0.0,0,0.0,0.0
4,0.203826904296875,0.0,0,0.0,0.0
5,0.25415539741516113,0.0,0,0.0,0.0
6,0.3075544834136963,0.0,0,0.0,0.0
7,0.3582592010498047,0.0,0,0.0,0.0
8,0.40846967697143555,0.0,0,0.0,0.0
9,0.4589219093322754,0.0,0,0.0,0.0
10,0.5069160461425781,0.0,0,0.0,0.0
11,0.557546854019165,0.0,0,0.0,0.0
12,0.6053574085235596,0.0,0,0.0,0.0
13,0.6589598655700684,0.0,0,0.0,0.0
14,0.7092108726501465,0.0,0,0.0,0.0
15,0.7585086822509766,0.0,0,0.0,0.0
16,0.8098859786987305,0.0,0,0.0,0.0
17,0.8586080074310303,0.0,0,0.0,0.0
18,0.9099216461181641,0.0,0,0.0,0.0
19,0.9594080448150635,0.0,0,0.0,0.0
20,1.007617712020874,0.0,0,0.0,0.0
21,1.0574493408203125,0.0,0,0.0,0.0
22,1.105985164642334,0.0,0,0.0,0.0
23,1.1596424579620361,0.0,0,0.0,0.0
24,1.2109363079071045,0.0,0,0.0,0.0
25,1.2596023082733154,0.0,0,0.0,0.0
26,1.3125512599945068,0.0,0,0.0,0.0
27,1.3597548007965088,0.0,0,0.0,0.0
28,1.4130733013153076,0.0,0,0.0,0.0
29,1.46437406539917,0.0,0,0.0,0.0
30,1.5101275444030762,0.0,0,0.0,0.0
31,1.5649917125701904,0.0,0,0.0,0.0
32,1.6142158508300781,0.0,0,0.0,0.0
33,1.6649315357208252,0.0,0,0.0,0.0
34,1.7126052379608154,0.0,0,0.0,0.0
35,1.7651114463806152,0.0,0,0.0,0.0
36,1.8142247200012207,0.0,0,0.0,0.0
37,1.8644297122955322,0.0,0,0.0,0.0
38,1.9147324562072754,0.0,0,0.0,0.0
39,1.9647712707519531,0.0,0,0.0,0.0
40,2.0149874687194824,0.0,0,0.0,0.0
41,2.063650131225586,0.0,0,0.0,0.0
42,2.115992307662964,0.0,0,0.0,0.0
43,2.1654086112976074,0.0,0,0.0,0.0
44,2.21549391746521,0.0,0,0.0,0.0
45,2.2657907009124756,0.0,0,0.0,0.0
46,2.3154842853546143,0.0,0,0.0,0.0
47,2.3658883571624756,0.0,0,0.0,0.0
48,2.416248321533203,0.0,0,0.0,0.0
49,2.4656426906585693,0.0,0,0.0,0.0
50,2.5162243843078613,0.0,0,0.0,0.0
51,2.56643009185791,0.0,0,0.0,0.0
52,2.616811990737915,0.0,0,0.0,0.0
53,2.666538953781128,0.0,0,0.0,0.0
54,2.7168076038360596,0.0,0,0.0,0.0
55,2.7667856216430664,0.0,0,0.0,0.0
56,2.81640887260437,0.0,0,0.0,0.0
57,2.8669753074645996,0.0,0,0.0,0.0
58,2.9173483848571777,0.0,0,0.0,0.0
59,2.9676265716552734,0.0,0,0.0,0.0
60,3.017669439315796,0.0,0,0.0,0.0
61,3.065248489379883,0.0,0,0.0,0.0
62,3.1185286045074463,0.0,0,0.0,0.0
63,3.168210506439209,0.0,0,0.0,0.0
64,3.21809983253479,0.0,0,0.0,0.0
65,3.2671263217926025,0.0,0,0.0,0.0
66,3.3188838958740234,0.0,0,0.0,0.0
67,3.3684988021850586,0.0,0,0.0,0.0
68,3.4188265800476074,0.0,0,0.0,0.0
69,3.468313694000244,0.0,0,0.0,0.0
70,3.51926851272583,0.0,0,0.0,0.0
71,3.568253993988037,0.0,0,0.0,0.0
72,3.620260715484619,0.0,0,0.0,0.0
73,3.6692047119140625,0.0,0,0.0,0.0
74,3.7177841663360596,0.0,0,0.0,0.0
75,3.771092176437378,0.0,0,0.0,0.0
76,3.8242955207824707,0.0,0,0.0,0.0
77,3.8735289573669434,0.0,0,0.0,0.0
78,3.9231462478637695,0.0,0,0.0,0.0
79,3.972923755645752,0.0,0,0.0,0.0
80,4.024545431137085,0.0,0,0.0,0.0
81,4.071561813354492,0.0,0,0.0,0.0
82,4.120254278182983,5.656126976013184,90,0.09591584615409374,0.0628458559513092
83,4.175267219543457,7.56990909576416,140,0.10407201200723645,0.05407077819108963
84,4.223664999008179,12.748517036437988,173,0.12875605821609498,0.07369084656238556
85,4.274389982223511,17.930084228515625,215,0.14640408396720886,0.08339574187994003
86,4.324341297149658,46.903465270996094,522,0.15053316980600356,0.08985338360071182
87,4.3745386600494385,60.10614776611328,625,0.1550319504737854,0.0961698368191719
88,4.425652027130127,27.62093734741211,289,0.1546186798810959,0.09557417780160904
89,4.475321531295776,42.6617317199707,509,0.14992534697055818,0.08381479978561401
90,4.5252299308776855,65.61981201171875,690,0.15208237379789352,0.09510117769241333
91,4.575318813323975,34.87946319580078,411,0.15495484620332717,0.08486487716436386
92,4.625946760177612,68.49679565429688,740,0.1538667532801628,0.09256323426961899
93,4.6754701137542725,25.314228057861328,306,0.1462456315755844,0.08272623270750046
94,4.726836919784546,43.821571350097656,550,0.14660921037197114,0.0796755850315094
95,4.776058197021484,27.179346084594727,285,0.15173428237438202,0.09536612778902054
96,4.826706647872925,41.50333786010742,509,0.14618120849132538,0.08153897523880005
97,4.87664532661438,24.890098571777344,268,0.15172268897294997,0.09287349879741669
98,4.926609992980957,28.831218719482422,349,0.1469664293527603,0.08261094242334366
99,4.976529121398926,23.459827423095703,261,0.14713325202465055,0.08988439291715622
100,5.027119159698486,22.462207794189453,252,0.14957044243812562,0.08913574367761612
101,5.074512243270874,21.403440475463867,243,0.14459488838911053,0.08808000385761261
102,5.127743721008301,24.958450317382812,281,0.14949488639831543,0.08882010728120804
103,5.176713943481445,30.019086837768555,403,0.1391679200530052,0.0744890496134758
104,5.228184223175049,25.61855697631836,283,0.14721541047096254,0.09052493423223495
105,5.2771079540252686,23.024845123291016,251,0.14519433677196503,0.0917324498295784
106,5.3278162479400635,28.824636459350586,401,0.13979151844978333,0.07188188284635544
107,5.378010034561157,21.985443115234375,235,0.15212461471557617,0.09355507791042328
108,5.427466630935669,23.81291389465332,303,0.1452894338965416,0.07859047502279282
109,5.478826999664307,22.8267822265625,247,0.15110637485980988,0.09241612255573273
110,5.528184175491333,21.55080795288086,235,0.1488378405570984,0.0917055681347847
111,5.578738689422607,21.750308990478516,238,0.1505570901930332,0.09138785302639008
112,5.628294944763184,18.26846694946289,213,0.140023033618927,0.08576744794845581
113,5.6782310009002686,18.10067367553711,210,0.14241451874375344,0.08619368076324463
114,5.727689504623413,20.071413040161133,224,0.1480693054199219,0.08960451930761337
115,5.779808282852173,20.271169662475586,233,0.13972983837127687,0.08700072765350342
116,5.8289430141448975,19.075244903564453,218,0.1428145669400692,0.08750112354755402
117,5.879343271255493,19.207530975341797,223,0.13551628410816194,0.08613242954015732
118,5.929194450378418,20.60183334350586,232,0.1483679385483265,0.08880100399255753
119,5.980429172515869,15.871842384338379,186,0.14400083497166632,0.0853324830532074
120,6.029875993728638,16.90011978149414,197,0.14162906289100646,0.08578740805387497
121,6.0769202709198,17.829486846923828,230,0.14144341364502908,0.0775195062160492
122,6.1304426193237305,15.482370376586914,188,0.14005098596215246,0.08235303312540054
123,6.176048755645752,14.289499282836914,167,0.14686749666929244,0.08556586503982544
124,6.230573415756226,18.304059982299805,236,0.13863387629389762,0.07755957543849945
125,6.2807090282440186,12.43970012664795,159,0.14100876599550247,0.07823710888624191
126,6.330693006515503,17.87447738647461,225,0.14419632613658903,0.07944212108850479
127,6.381357431411743,17.63587188720703,199,0.14451154202222824,0.08862247318029404
128,6.430666446685791,24.062744140625,260,0.14983552485704424,0.09254901856184006
129,6.481545686721802,18.78805160522461,212,0.14831715553998948,0.08862288296222687
130,6.532609939575195,22.998043060302734,264,0.15222663998603822,0.08711379766464233
131,6.5817341804504395,22.652549743652344,246,0.14975893273949623,0.09208353608846664
132,6.631850719451904,25.26028060913086,276,0.15203790366649628,0.09152275323867798
133,6.682153701782227,23.543962478637695,263,0.14420648783445358,0.08952076733112335
134,6.731799840927124,27.315673828125,292,0.15134666949510575,0.09354683011770248
135,6.782840013504028,39.18456268310547,489,0.14775871098041535,0.08013202995061874
136,6.831972122192383,53.82286071777344,614,0.1454912666976452,0.08765938133001328
137,6.878456354141235,25.212146759033203,274,0.1458080610632896,0.09201513230800629
138,6.932011365890503,27.862911224365234,334,0.14301278650760652,0.08342189341783524
139,6.983089447021484,38.308685302734375,471,0.15345446169376373,0.08133478462696075
140,7.032748460769653,27.870769500732422,293,0.1517840325832367,0.0951220765709877
141,7.079039573669434,26.533143997192383,290,0.1465421660244465,0.09149359911680222
142,7.133131504058838,30.41366195678711,321,0.15184247493743896,0.09474661201238632
143,7.182801246643066,25.324169158935547,283,0.15062326937913895,0.08948469907045364
144,7.232581377029419,43.470821380615234,518,0.1519825853407383,0.08392050117254257
145,7.284220218658447,25.622591018676758,293,0.15077064752578734,0.08744911849498749
146,7.333223819732666,48.944419860839844,566,0.14566659927368164,0.08647423982620239
147,7.383746862411499,38.31761932373047,459,0.15114452600479128,0.08348064869642258
148,7.434105634689331,25.87924575805664,281,0.14988957345485687,0.0920969620347023
149,7.483273029327393,34.61605453491211,361,0.14813784956932066,0.09588934481143951
150,7.535478353500366,62.78134536743164,752,0.15345525547862052,0.08348583430051804
151,7.5839855670928955,64.20530700683594,690,0.1489437174797058,0.09305117279291153
152,7.634246587753296,47.53321075439453,566,0.15147594287991525,0.08398094028234482
153,7.684412717819214,35.00739669799805,404,0.14191474303603172,0.08665197342634201
154,7.734657287597656,33.275611877441406,364,0.1442655137181282,0.09141651540994644
155,7.784645080566406,67.15058898925781,734,0.14917813479900355,0.09148581326007843
156,7.834902048110962,64.4581298828125,713,0.14939662039279938,0.09040410816669464
157,7.884113550186157,85.17674255371094,888,0.15731207221746446,0.09591975808143616
158,7.935346364974976,93.20244598388672,934,0.1606817477941513,0.09978848695755005
159,7.985625505447388,89.91575622558594,903,0.15936479896306993,0.0995744839310646
160,8.035577297210693,54.751502990722656,636,0.14313599988818168,0.08608727157115936
161,8.084089756011963,115.9443130493164,1123,0.16201186060905456,0.10324516147375107
162,8.134968519210815,129.37734985351562,1255,0.1627994441986084,0.10308951884508133
163,8.1856849193573,106.02450561523438,1059,0.16237145900726319,0.10011757165193558
164,8.231873750686646,137.55491638183594,1337,0.16303506910800933,0.10288325697183609
165,8.28480339050293,168.2913818359375,1580,0.16311885729432107,0.10651353001594543
166,8.33562970161438,164.6219024658203,1543,0.16290116280317307,0.10668950527906418
167,8.382308006286621,171.10455322265625,1658,0.16135985746979714,0.10319937020540237
168,8.432531595230103,198.31134033203125,1858,0.1631750911474228,0.1067337691783905
169,8.487287521362305,184.9178466796875,1648,0.16311346396803855,0.11220742762088776
170,8.53278374671936,206.76040649414062,1891,0.16166237890720367,0.10933919250965118
171,8.585890531539917,233.957763671875,2031,0.16317632794380188,0.11519338190555573
172,8.632986783981323,249.13223266601562,2161,0.16525859832763673,0.11528562009334564
173,8.686749696731567,263.4559326171875,2236,0.16824584305286408,0.11782465875148773
174,8.736091375350952,252.47943115234375,2183,0.1683029171824455,0.11565709114074707
175,8.785900592803955,276.5997314453125,2417,0.16938356757164003,0.11443927884101868
176,8.838345289230347,287.64520263671875,2452,0.18224480450153302,0.11731044203042984
177,8.890297174453735,304.78948974609375,2536,0.18909679725766185,0.12018512934446335
178,8.939427137374878,305.505615234375,2594,0.200735402405262,0.11777394264936447
179,8.988297939300537,312.74871826171875,2674,0.19905477181077003,0.11695913225412369
180,9.040150880813599,329.345458984375,2763,0.2009798678755761,0.1191985011100769
181,9.088033199310303,313.3468322753906,2601,0.18749122321605682,0.12047167867422104
182,9.14082145690918,286.0123291015625,2418,0.18422660604119298,0.118284672498703
183,9.190528392791748,284.5775451660156,2415,0.18750331401824952,0.11783749610185623
184,9.236800193786621,283.56201171875,2447,0.18909938842058183,0.11588149517774582
185,9.28932523727417,250.46786499023438,2216,0.177825479209423,0.11302701383829117
186,9.34100341796875,306.1357421875,2606,0.19551738128066057,0.11747342348098755
187,9.390461444854736,294.50933837890625,2524,0.1977459242939949,0.11668357253074646
